y=89 x=118 x1=438 conf=1.00 | 6.儿童房装饰画布置
y=85 x=1025 x1=1314 conf=1.00 | 7.过道装饰画布置
y=155 x=118 x1=935 conf=1.00 | 儿童房主题与色调以健康安全、启迪智慧为主。装饰画的颜色选择
y=155 x=1030 x1=1740 conf=1.00 | 走道是流动量比较大但不会久留的地方，这里的装饰画不
y=204 x=121 x1=930 conf=0.99 | 上多鲜艳活泼，温暖而有安全感。题材可选择健康生动的卡通、动物、
y=207 x=1030 x1=1738 conf=1.00 | 能太贵重，以轻质且不易掉为佳，主题宜偏简洁，不引发
y=256 x=116 x1=935 conf=1.00 | 动漫以及儿童自己的涂鸦等，以乐观向上为原则，能够给孩子们带
y=256 x=1027 x1=1735 conf=1.00 | 驻足思考，构图与色彩尽量保持一致，有利于缓冲视觉疲劳。
y=308 x=118 x1=817 conf=1.00 | 来艺术的启蒙及感性的培养，并且营造出轻松欢快的氛围。
y=308 x=1030 x1=1735 conf=1.00 | 过道一般都比较窄长，装饰画不宜太大或太满，以免给人
y=357 x=118 x1=935 conf=1.00 | 为了给儿童一个宽的活动空间，儿童房的装饰应适可而止，注意
y=357 x=1030 x1=1738 conf=0.99 | 压迫感，并注意与其他家具的比例。3~6幅一组的组合画
y=404 x=118 x1=933 conf=1.00 | 协调，以免太多的图案造成视觉上的混乱，不利于身心健康。儿童
y=406 x=1027 x1=1735 conf=1.00 | 或同类题材装饰画最合适不过，可高低错落，也可顺势悬挂。
y=458 x=118 x1=935 conf=1.00 | 房的空间一般都比较小，所以选择小幅的装饰画做点缀比较好，太
y=507 x=118 x1=935 conf=1.00 | 大的装饰画就会破坏童真的趣味。但注意，在儿童房中最好不要选
y=557 x=116 x1=433 conf=1.00 | 择抽象类的后现代装饰画。
y=568 x=1435 x1=1510 conf=0.58 | Cin
y=1041 x=1030 x1=1453 conf=0.98 | ■多幅装饰画的组合成为过道上一道风景线
y=1877 x=121 x1=436 conf=1.00 | 儿童房宜挂富有童趣的装饰画
y=2081 x=1030 x1=1456 conf=0.97 | ■过道尽头可悬挂大幅装饰画作为端景装饰
y=2187 x=911 x1=954 conf=1.00 | 173
