y=1172 x=95 x1=379 conf=1.00 | 铁艺吊灯营造美式风格
y=1172 x=952 x1=1285 conf=0.96 | ?多种光源组合打造浪漫氛围
y=1219 x=90 x1=859 conf=1.00 | 采用了典型的美式风格灯具来营造空间的风格。首先，挑高的楼梯
y=1217 x=949 x1=1714 conf=1.00 | 带有金属的反光质感的餐厅主灯，与墙面的装饰镜以及有反光性的家
y=1261 x=92 x1=843 conf=1.00 | 间区域采用了双层的塔状吊灯，起到了空间主要照明的作用。同时，
y=1261 x=952 x1=1714 conf=1.00 | 具的油漆质感相互呼应，形成了画面中的三角构图关系。同时，配合
y=1304 x=92 x1=862 conf=1.00 | 在一楼过道的两侧采用三头壁灯，起到呼应和增加细节的效果。在
y=1299 x=949 x1=1714 conf=1.00 | 桌面上的蜡烛灯等一些补充性光源，能够为用餐时创造比较浪漫的灯
y=1341 x=90 x1=859 conf=1.00 | 这两种灯具的材质上，也采用了铁艺类的金属材质，达到了整体风
y=1341 x=952 x1=1044 conf=1.00 | 光氛围。
y=1381 x=89 x1=211 conf=1.00 | 格的统一。
y=1846 x=1122 x1=1456 conf=0.99 | 蓬松质感的吊灯营造休闲感
y=1896 x=1120 x1=1716 conf=1.00 | 空间中的主灯采用了米白的色系，与硬装上大面积的
y=1936 x=1120 x1=1716 conf=1.00 | 深灰色的基调形成效果上的反差。同时，材质上采用
y=1975 x=1124 x1=1702 conf=1.00 | 了蓬松的质感，与空间当中家具的休闲感相互呼应。
y=2018 x=1120 x1=1716 conf=1.00 | 在这个空间的其他区域中采用了多点的散性的布光方
y=2058 x=1117 x1=1411 conf=1.00 | 式，增加了灯光的层次感。
y=2189 x=885 x1=930 conf=1.00 | 158
