y=85 x=133 x1=388 conf=1.00 | 5.卧室挂镜布置
y=87 x=989 x1=1278 conf=1.00 | 6.卫浴间挂镜布置
y=153 x=133 x1=900 conf=1.00 | 虽然说在卧室中布置挂镜从传统角度来说是忌讳的，不过在现
y=155 x=994 x1=1754 conf=1.00 | 镜子作为卫浴间的必需品，功能作用似乎占了主导，很多人往
y=204 x=137 x1=900 conf=1.00 | 代设计中只要位置得当也无伤大雅，但是挂镜最好不要对着床
y=207 x=994 x1=1738 conf=1.00 | 往忽视了它的装饰性与空间效果。其实，只要经过巧妙的设计，
y=256 x=135 x1=900 conf=1.00 | 或房门，因为居住者夜里起床，意识模糊时看到镜子反射出来
y=258 x=992 x1=1498 conf=0.99 | 挂镜会给卫浴间带来意想不到的魔法效果。
y=303 x=133 x1=367 conf=1.00 | 的影像会受到惊吓。
y=308 x=994 x1=1752 conf=1.00 | 镜子不仅可以在视觉上延展卫浴空间，同时也会让光线不好的
y=352 x=133 x1=900 conf=1.00 | 卧室里的挂镜除了用作穿衣镜，还可以用来放大空间，化解狭
y=357 x=994 x1=1754 conf=0.98 | 卫浴间的明亮度得以倍增。卫浴间中的镜子通常悬挂在盥洗台
y=404 x=133 x1=900 conf=1.00 | 小卧室的压迫感。可以在卧室墙上做出一些几何图形，在里面
y=406 x=992 x1=1754 conf=1.00 | 的上方，美化环境的同时方便整理仪容。在注重收纳功能的小
y=456 x=135 x1=900 conf=1.00 | 安装镜子，既有扩大空间的效果，又能使卧室的装饰效果显得
y=458 x=994 x1=1444 conf=1.00 | 户型中，挂镜通常以镜柜的形式出现。
y=505 x=135 x1=895 conf=1.00 | 极具个性，让人眼前一亮。此外，挂镜不仅可以用在卧室的墙上，
y=557 x=135 x1=833 conf=1.00 | 也可以把衣柜门换成镜面装饰，使空间有横向扩展的感觉。
y=1264 x=135 x1=450 conf=0.96 | ▲几何形状的挂镜显得极具个性
y=1264 x=1004 x1=1510 conf=0.95 | ▲盥洗台上方的镜子在美化环境的同时方便整理仪容
y=2072 x=135 x1=821 conf=0.99 | ▲卧室挂镜适合布置在床头或者两侧的墙上，避免安装在床尾的墙面上
y=2069 x=999 x1=1404 conf=0.96 | ■曲线形挂镜为卫浴空间增加趣味与活力
y=2187 x=923 x1=968 conf=1.00 | 195
