y=120 x=213 x1=668 conf=1.00 | 九、卫浴间灯饰照明方案
y=228 x=123 x1=869 conf=1.00 | 卫浴间以柔和的光线为主，照度要求不高，但要求光线均匀，
y=275 x=121 x1=885 conf=1.00 | 灯饰本身还要具有良好的防水功能、散热功能和不易积水的功
y=329 x=125 x1=604 conf=1.00 | 能，材料以塑料和玻璃为佳，方便清洁。
y=376 x=123 x1=888 conf=1.00 | 因为卫浴间一般都比较狭小，很容易有一些灯光覆盖不到的地
y=423 x=118 x1=885 conf=1.00 | 方，加上湿滑的地面，造成意外事故的例子也很多，所以除了
y=477 x=123 x1=883 conf=0.99 | 主灯之外，非常有必要增加一些辅助灯光，如镜前灯、射灯。但是，
y=526 x=123 x1=888 conf=1.00 | 卫浴间也不能过于明亮，否则会让人缺乏安全感，尤其是沐浴
y=580 x=123 x1=632 conf=1.00 | 的时候，柔和一点的灯光能让人放松心情。
y=646 x=982 x1=1406 conf=0.98 | ■卫浴间的灯饰应具备防水和易清洁等特点
y=808 x=980 x1=1302 conf=1.00 | 2.大面积卫浴间照明
y=813 x=123 x1=438 conf=1.00 | 1.小面积卫浴间照明
y=879 x=125 x1=888 conf=1.00 | 如果卫浴空间比较狭小，可以将灯饰安装在吊顶中间，这样光
y=876 x=982 x1=1740 conf=1.00 | 大面积卫浴间的灯饰照明可以用壁灯、吸顶灯、筒灯等。由于
y=928 x=125 x1=888 conf=1.00 | 线四射，给人从视觉上有扩大之感。考虑到狭小卫浴间的干湿
y=928 x=985 x1=1742 conf=1.00 | 干湿分离普遍较好，因此小卫浴间中不方便使用的射灯，在这
y=980 x=125 x1=888 conf=1.00 | 分区效果不理想，所以不建议使用射灯做背景式照明。因为射
y=977 x=985 x1=1742 conf=1.00 | 里可以运用起来。射灯适合安装在防水石膏板吊顶之中，既可
y=1026 x=123 x1=885 conf=1.00 | 灯虽然漂亮，但是防水效果普遍较差，一般用不了多久就会失效。
y=1026 x=982 x1=1745 conf=1.00 | 对准面盆、坐便器或浴缸的顶部形成局部照明，也可以巧妙设
y=1078 x=982 x1=1352 conf=1.00 | 计成背景灯光以烘托环境气氛。
y=2069 x=123 x1=530 conf=0.99 | ■小面积卫浴间宜把灯饰安装在吊顶中间
y=2072 x=985 x1=1560 conf=0.98 | ▲大面积卫浴间可采用吊灯、壁灯、筒灯等多种组合的照明
y=2182 x=916 x1=959 conf=1.00 | 153
