y=256 x=230 x1=784 conf=1.00 | 二、不同空间的工艺品挂件布置
y=355 x=118 x1=1020 conf=1.00 | 工艺品挂件可以随时更换，立即改变空间氛围，起到补充、点缀墙面的效果。
y=406 x=118 x1=1025 conf=1.00 | 因材质、造型、色彩、尺寸上的差异，不同的功能空间适合装饰不同的工
y=456 x=118 x1=251 conf=1.00 | 艺品挂件。
y=684 x=116 x1=471 conf=1.00 | 1.客厅工艺品挂件布置
y=749 x=118 x1=1025 conf=1.00 | 客厅的软装元素在风格上统一才能保持整个空间的连贯性。将工艺品挂件
y=801 x=116 x1=1008 conf=1.00 | 的形状、材质、颜色与同区域的饰品相呼应，可以营造出非常好的协调感。
y=848 x=114 x1=1027 conf=1.00 | 美式乡村风格客厅中通常会有老照片、装饰羚羊头挂件；工业风客厅中常
y=897 x=116 x1=1027 conf=1.00 | 常出现齿轮造型的挂件；在现代风格客厅中，金属挂件是一个非常不错的选
y=951 x=114 x1=1025 conf=1.00 | 择；小鸟、荷叶以及池鱼元素的陶瓷挂件则适合出现在中式风格的客厅背
y=1003 x=118 x1=220 conf=1.00 | 景墙上。
y=1001 x=1117 x1=1499 conf=0.97 | ■羚羊头造型挂件凸显北欧风格的灵性
y=1987 x=116 x1=497 conf=0.96 | ■齿轮造型挂件是工业风格客厅的首选
y=2072 x=1115 x1=1430 conf=0.95 | ▲荷叶造型挂件流露出淡淡禅意
y=2182 x=907 x1=949 conf=1.00 | 205
