y=155 x=204 x1=518 conf=1.00 | 二、挂盘色彩搭配
y=258 x=95 x1=980 conf=1.00 | 越是内容丰富的挂盘，越是可以搭配适度浓烈色彩的墙面，形成相互呼应。
y=310 x=97 x1=978 conf=1.00 | 例如挂盘带有彩绘的鱼、波浪等图案，蓝色、绿色、黄色等艳丽色彩流溢，
y=336 x=1543 x1=1598 conf=0.59 | #
y=357 x=95 x1=985 conf=0.99 | 不妨将背景墙换成浓艳的黄色或明快的蓝色，为空间带来更多明媚与活力；
y=404 x=92 x1=987 conf=1.00 | 简单素雅的纯色挂盘装饰在花色繁多的墙面之上则有一泓清泉的效果；而
y=460 x=95 x1=769 conf=1.00 | 在素白的墙面上，搭配白底描花的挂盘会显得十分优雅。
y=514 x=1077 x1=1544 conf=0.97 | ■内容丰富的挂盘适合搭配适度浓烈色彩的墙面
y=632 x=199 x1=518 conf=1.00 | 三、挂盘装饰手法
y=730 x=90 x1=963 conf=1.00 | 装饰墙面的挂盘，一般不会单只出现，通常多只挂盘作为一个整体出现，
y=787 x=95 x1=982 conf=1.00 | 这样才有画面感，但要避免杂乱无章。主题统一且图案突出的多只挂盘巧
y=836 x=95 x1=658 conf=1.00 | 妙地组合在一起，才能起到替代装饰画的效果。
y=888 x=92 x1=966 conf=1.00 | 挂盘上墙一般有两种装饰手法：规则排列和不规则排列。当挂盘数量多、
y=937 x=95 x1=980 conf=1.00 | 形状不一、内容各异时，可以选择不规则排列方式。建议先在平地上设计
y=987 x=95 x1=982 conf=0.99 | 挂盘的悬挂位置和整体形状，再将其贴到墙面上。当挂盘数量不多、形状
y=1038 x=95 x1=982 conf=1.00 | 相同时，适合采用规则排列的手法。例如两列竖排盘子，中间加一个置物
y=1088 x=95 x1=961 conf=1.00 | 层板，形成一个H形，层板上摆放一两盆小植物，软化挂盘的硬结构，
y=1137 x=95 x1=440 conf=1.00 | 就是一个很不错的装饰手法。
y=2011 x=97 x1=258 conf=0.93 | ▲挂盘规则排列
y=2013 x=1082 x1=1259 conf=0.96 | ▲挂盘不规则排列
y=2180 x=885 x1=928 conf=1.00 | 202
