y=110 x=140 x1=421 conf=1.00 | 2.玄关装饰画布置
y=108 x=994 x1=1745 conf=1.00 | 餐厅装饰画选择横挂或竖挂需根据墙面尺寸或餐桌摆放方向。
y=160 x=994 x1=1742 conf=0.99 | 如果墙面较宽、餐厅面积大，可以用横挂画的方式装饰墙面；
y=179 x=140 x1=902 conf=1.00 | 玄关位置的装饰画吸引着大部分的视线，作为整个空间的“门
y=207 x=989 x1=1764 conf=1.00 | 如果墙面较窄，餐桌又是竖着摆放，装饰画可以竖向排列，减
y=223 x=132 x1=885 conf=0.99 | 面担当”，装饰画的选择重点是题材、色调以吉祥愉悦为佳，
y=261 x=994 x1=1122 conf=1.00 | 少拥挤感。
y=272 x=135 x1=888 conf=1.00 | 并与整体风格协调搭配。不宜选择太大的装饰画，以精致小巧、
y=329 x=140 x1=904 conf=1.00 | 画面简约的无框画为宜。可选择格调高雅的抽象画或静物、插
y=373 x=133 x1=902 conf=1.00 | 花等题材的装饰画，来展现主人优雅高贵的气质。此外，也可
y=423 x=137 x1=885 conf=0.99 | 以选择一些吉祥意境的装饰画。数量上通常挂一幅画装饰即可，
y=472 x=135 x1=904 conf=1.00 | 尽量大方端正，并考虑与周边环境的关系。挂画的高度以平视
y=529 x=137 x1=618 conf=0.99 | 视点在画的中心或底边向上1/3处为宜。
y=1358 x=132 x1=407 conf=0.94 | ■玄关通常悬挂单幅装饰画
y=1484 x=994 x1=1373 conf=0.98 | ■果蔬图案的装饰画最适合餐厅的主题
y=1571 x=133 x1=421 conf=1.00 | 3.餐厅装饰画布置
y=1637 x=133 x1=902 conf=1.00 | 餐厅是让人愉快用餐、放松交流的地方，装饰画在色彩与形象
y=1691 x=135 x1=900 conf=1.00 | 上都要符合用餐人的心情，通常橘色、橙黄色等明亮色彩能让
y=1738 x=135 x1=900 conf=1.00 | 人身心愉悦，增加食欲，图案以明快、靓丽为佳。果蔬图案装
y=1788 x=133 x1=902 conf=1.00 | 饰画是餐厅挂画的极佳选择，水果、花卉和色块组合为主题的
y=1842 x=133 x1=897 conf=1.00 | 抽象画挂在餐厅中也是现在比较流行的一种搭配手法。如果餐
y=1888 x=130 x1=895 conf=1.00 | 厅与客厅一体相通时，装饰画最好能与客厅配画相协调。挂画时，
y=1938 x=130 x1=902 conf=1.00 | 建议画的顶边高度在空间顶角线下60~80cm，并居餐桌中线
y=1990 x=133 x1=211 conf=1.00 | 为宜。
y=2065 x=989 x1=1394 conf=0.97 | ■餐厅墙面悬挂多幅装饰画注意适当留白
y=2185 x=923 x1=966 conf=1.00 | 171
