y=157 x=1375 x1=1624 conf=0.86 | ○第七节
y=225 x=977 x1=1627 conf=1.00 | 灯饰照明实战案例
y=505 x=656 x1=817 conf=0.99 | 特邀软装专家
y=500 x=862 x1=1662 conf=0.99 | 近十年室内设计工作经验，其中有五年地产样板房和会所软装设计经验。中国
y=543 x=864 x1=1662 conf=0.98 | 建筑学会室内设计分会会员。提倡要将空间、功能和人文三者相结合的设计
y=554 x=694 x1=814 conf=1.00 | 蔡鹤群
y=578 x=862 x1=1532 conf=0.97 | 理念。热爱生活，享受设计。擅长美式、现代、欧式等设计风格。
y=1569 x=140 x1=421 conf=1.00 | 极富豪华感的多头吊灯
y=1618 x=137 x1=471 conf=1.00 | 长椭圆形的吊灯，与空间中的
y=1658 x=137 x1=471 conf=1.00 | 格局和吊顶的走向一致，在形
y=1698 x=137 x1=471 conf=1.00 | 态上相互统一。多头的灯罩形
y=1741 x=137 x1=471 conf=1.00 | 成了豪华感，灯罩下方吊坠的
y=1778 x=135 x1=473 conf=1.00 | 玛瑙石，也和空间当中的软装
y=1823 x=137 x1=471 conf=1.00 | 和家居中的配色相互呼应。同
y=1863 x=137 x1=454 conf=1.00 | 时，在吊顶上增加了点光源，
y=1900 x=135 x1=471 conf=1.00 | 打亮了墙面上的饰品和家具
y=1943 x=142 x1=471 conf=1.00 | 上的摆件，创造了多层次的光
y=1987 x=140 x1=206 conf=1.00 | 氛围。
y=2152 x=921 x1=949 conf=1.00 | 155
