y=970 x=123 x1=504 conf=0.95 | ◎富有小清新气息的白色藤编吊灯
y=1015 x=118 x1=871 conf=1.00 | 清新放松的现代空间氛围中，安置了一个看似简单的白色藤编的吊
y=1055 x=116 x1=871 conf=0.99 | 灯，既不突兀于整体氛围中，又能很好地营造轻松的度假氛围。灯
y=1097 x=118 x1=871 conf=1.00 | 饰本身的这种开放性的白色，与沙发和茶几上的白色，以及墙面上
y=1139 x=121 x1=514 conf=1.00 | 装饰画的白色等形成了很好的统一。
y=1196 x=956 x1=1364 conf=0.95 | ?禅意空间采用多种几何造型的灯饰
y=1240 x=952 x1=1745 conf=1.00 | 餐饮空间的楼梯区域，采用了装置化和多点散性的组合布灯方式。主体
y=1282 x=954 x1=1742 conf=1.00 | 装饰性的吊灯选择多种几何体的造型，丰富了该区域的顶面装饰化效果。
y=1322 x=952 x1=1617 conf=1.00 | 同时，顶面增加了多处的轨道射灯，起到了照亮空间的作用。
y=1769 x=959 x1=1243 conf=0.94 | ◎弯曲木条造型的落地灯
y=1818 x=956 x1=1567 conf=1.00 | 美式空间在灯具的材质和形态的选择上采用了弯曲的木
y=1856 x=956 x1=1565 conf=1.00 | 条类材质，配合暖色的灯光以及米色的灯罩，重点突出
y=1896 x=959 x1=1567 conf=1.00 | 了空间中休闲的感觉。同时，在空间的软硬装各物件的
y=1938 x=956 x1=1567 conf=1.00 | 位置关系中也比较注重对比和搭配。背景是深色区域的
y=1980 x=961 x1=1565 conf=1.00 | 位置上，采用了米白的灯罩进行前跳。在白色的百叶背
y=2018 x=956 x1=1548 conf=1.00 | 景前，只是单纯地强调了木藤条的色彩和形态。这样，
y=2060 x=959 x1=1546 conf=1.00 | 一深一浅，一前一后的搭配，使得空间非常有层次感。
y=2173 x=921 x1=961 conf=1.00 | 159
