y=280 x=201 x1=675 conf=1.00 | 三、不同空间的装饰画布置
y=381 x=95 x1=1158 conf=1.00 | 装饰画是软装设计中不可忽略的重要组成部分，不同时期的装饰画反映出不同时期的社
y=482 x=95 x1=412 conf=1.00 | 受，需要掌握一定的技巧。
y=747 x=95 x1=376 conf=1.00 | 1.客厅装饰画布置
y=813 x=95 x1=859 conf=1.00 | 客厅是整个家居空间中的重中之重，选择的装饰画并非一定要
y=810 x=956 x1=1714 conf=1.00 | 选择尺寸大的装饰画，从而营造一种开阔大气的意境。小客厅
y=864 x=95 x1=843 conf=1.00 | 尺寸大、色彩鲜艳，但一定是可以表达居住者性格和内涵的。
y=862 x=956 x1=1714 conf=1.00 | 可以选择多挂几幅尺寸较小的装饰画作为点缀。如果面积不大
y=914 x=95 x1=859 conf=1.00 | 装饰画应凸显空间设计格调，或张扬或低调，或质朴或有很高
y=911 x=954 x1=1716 conf=1.00 | 的墙面只挂一幅过小的装饰画会显得过于空洞，想搭配出一面
y=965 x=95 x1=606 conf=1.00 | 的艺术价值，都需要比较准确无误的表达。
y=958 x=952 x1=1719 conf=1.00 | 大气的背景墙，可选择较大幅的装饰画，画面适当地留白，减
y=1010 x=92 x1=859 conf=1.00 | 客厅中的装饰画通常挂在沙发背景墙上，数量宜精不宜多，通
y=1010 x=956 x1=1461 conf=1.00 | 缓了视觉的压迫，留给人无限遐想的空间。
y=1064 x=95 x1=859 conf=0.99 | 常不超过三幅，寓意乐观祥和，且符合整个空间的格调。如果
y=1062 x=956 x1=1716 conf=1.00 | 客厅装饰画的大小比例可以依据黄金比例来计算，用墙面的宽
y=1111 x=95 x1=859 conf=1.00 | 装饰画较小，不足以丰富整面墙的表情，增添一些花卉或亮色
y=1111 x=956 x1=1522 conf=1.00 | 度和高度各自乘以0.618来算出装饰画的尺寸。
y=1160 x=95 x1=859 conf=1.00 | 小物的装饰，沙发背后的风景一样精彩出挑。面积小的客厅既
y=1212 x=95 x1=862 conf=1.00 | 可以利用装饰镜面的折射来拉大视觉效果，选用纵深感强的装
y=1266 x=99 x1=526 conf=1.00 | 饰画同样也是延伸空间的一种手段。
y=1311 x=95 x1=859 conf=1.00 | 客厅的大小直接影响着装饰画尺寸的大小。通常，大客厅可以
y=1985 x=99 x1=329 conf=0.94 | ■客厅悬挂多幅装饰画
y=1983 x=959 x1=1186 conf=0.95 | ■客厅悬挂单幅装饰画
y=2182 x=892 x1=933 conf=1.00 | 170
