y=157 x=99 x1=388 conf=1.00 | 9.北欧风格装饰画
y=230 x=102 x1=793 conf=1.00 | 北欧风格以简约著称，既有回归自然、崇尚原木的韵味，
y=280 x=104 x1=795 conf=1.00 | 也有时尚精美的艺术感。装饰画的选择也应符合这个原则，
y=331 x=104 x1=814 conf=1.00 | 题材或现代时尚，或自然质朴，再加上简而细的画框，有
y=381 x=102 x1=795 conf=1.00 | 助于营造自然宁静的北欧风情。此外，北欧风格的家居中，
y=430 x=104 x1=665 conf=1.00 | 装饰画的数量不宜过多，注意整体空间的留白。
y=782 x=270 x1=405 conf=0.79 | OO
y=824 x=909 x1=1288 conf=0.96 | ■简而细的画框表现精致时尚的艺术感
y=947 x=909 x1=1210 conf=1.00 | 10.波普风格装饰画
y=1008 x=907 x1=1619 conf=1.00 | 波普风格通过塑造夸张的、大众化、通俗化的方式展现波
y=1057 x=907 x1=1617 conf=1.00 | 普艺术，色彩强烈而明朗，设计风格变化无常，浓烈的色
y=1113 x=909 x1=1617 conf=0.99 | 彩充斥着大部分视觉。装饰画通常采用重复的图案、鲜亮
y=1163 x=909 x1=1281 conf=0.99 | 的色彩渲染大胆个性的氛围感。
y=1214 x=909 x1=1598 conf=1.00 | 解构、拼接、重复为波普风格的基础手法，圆点、条纹、
y=1264 x=907 x1=1359 conf=1.00 | 菱形以及抽象的图案是最常用的元素。
y=1346 x=1165 x1=1352 conf=0.99 | PARIS
y=1426 x=102 x1=528 conf=0.97 | ■北欧风格装饰画营造一种自然宁静的氛围
y=2072 x=907 x1=1333 conf=0.98 | ▲波普艺术装饰画完美提升空间的个性气质
y=2185 x=888 x1=933 conf=1.00 | 168
