y=418 x=237 x1=594 conf=1.00 | 二、装饰画色彩搭配
y=521 x=133 x1=772 conf=1.00 | 装饰画的色彩要与室内空间的主色调进行搭配，一般
y=571 x=133 x1=772 conf=1.00 | 情况下，两者之间忌色彩对比过于强烈，也忌完全孤
y=618 x=130 x1=772 conf=1.00 | 立，要尽量做到色彩的有机呼应。例如，客厅装饰画
y=672 x=133 x1=774 conf=1.00 | 可以沙发为中心，中性色和浅色沙发适合搭配暖色调
y=721 x=133 x1=772 conf=1.00 | 的装饰画，红色等颜色比较鲜亮的沙发适合配以中性
y=768 x=130 x1=507 conf=1.00 | 基调或相同相近色系的装饰画。
y=820 x=133 x1=769 conf=1.00 | 通常，装饰画的色彩分成两块，一块是框的颜色，另
y=871 x=133 x1=772 conf=1.00 | 外一块是画芯的颜色。不管如何，框和画芯的颜色之
y=923 x=133 x1=774 conf=1.00 | 间总要有一个和房间内的沙发、桌子、地面或者墙面
y=972 x=133 x1=755 conf=1.00 | 的颜色相协调，这样才能给人和谐舒适的视觉效果。
y=1022 x=133 x1=753 conf=1.00 | 最好的办法是装饰画色彩的主色从主要家具中提取，
y=1071 x=130 x1=530 conf=1.00 | 而点缀的辅色可以从饰品中提取。
y=1196 x=866 x1=1264 conf=0.97 | ■从客厅茶几中提取背景墙装饰画的主色
y=2072 x=130 x1=424 conf=0.97 | ■装饰画与家具色彩形成对比
y=2074 x=989 x1=1283 conf=0.96 | ■装饰画与家具色彩形成协调
y=2185 x=916 x1=966 conf=1.00 | 169
