y=70 x=111 x1=370 conf=1.00 | 3.客厅挂镜布置
y=80 x=968 x1=1226 conf=1.00 | 4.餐厅挂镜布置
y=138 x=109 x1=883 conf=1.00 | 客厅中运用挂镜，首先可以起到装饰作用。例如，欧式风格的
y=153 x=973 x1=1735 conf=1.00 | 餐厅是最适合装饰挂镜的地方，因为餐厅中的镜子可以照射到
y=188 x=111 x1=881 conf=1.00 | 住宅空间常常在会客厅壁炉上方或者沙发背景墙上装饰华丽的
y=199 x=973 x1=1724 conf=1.00 | 餐桌上的食物，能够促进用餐者的味觉神经，让人食欲大增。
y=239 x=109 x1=878 conf=1.00 | 挂镜提升房子的古典气质。其次，可以借助镜子的反射延伸视觉。
y=251 x=968 x1=1738 conf=1.00 | 挂镜也是新古典、中式、欧式以及现代风格餐厅中的常用软装
y=289 x=109 x1=878 conf=1.00 | 例如，对于一些客厅比较狭长的户型来说，在侧面的墙上安装
y=300 x=968 x1=1731 conf=1.00 | 元素，可以有效提升空间的艺术氛围。如果餐厅中布置了餐边柜，
y=343 x=111 x1=862 conf=1.00 | 镜子可以在视觉上起到横向扩容的效果，让客厅感觉到宽。
y=352 x=970 x1=1399 conf=1.00 | 也可以把镜子悬挂在餐边柜的上方。
y=390 x=109 x1=876 conf=1.00 | 至于挂镜的尺寸和颜色，可以根据客厅的面积和格局的具体情
y=401 x=966 x1=1735 conf=1.00 | 有些餐厅空间较为狭小局促，小餐桌选择靠墙摆放，容易受到
y=437 x=108 x1=266 conf=1.00 | 况进行选择。
y=451 x=968 x1=1733 conf=1.00 | 来自墙壁的无形的压迫感，这时可以在墙上装一面比餐桌宽度
y=493 x=109 x1=876 conf=1.00 | 在客厅的某个角落处巧用镜子，也是一个很不错的选择。因为
y=500 x=966 x1=1735 conf=1.00 | 稍宽的长条形状的镜子，消除靠墙座位的压迫感，还能增添用
y=540 x=104 x1=876 conf=1.00 | 通常角落处的光线较为不足，空间也较为局促，比如读书休闲区。
y=554 x=968 x1=1068 conf=1.00 | 餐情趣。
y=589 x=104 x1=878 conf=1.00 | 只要在低矮柜子的墙面上用挂镜装饰，就多增加一面墙的反光
y=641 x=106 x1=455 conf=1.00 | 照射，加强亮度，延伸空间。
y=1409 x=99 x1=526 conf=0.99 | ■客厅沙发墙上的挂镜取代挂画的装饰作用
y=1722 x=954 x1=1619 conf=0.99 | ▲挂镜对于面积不大的餐厅来说，不仅可以起到扩容作用，而且还有
y=1759 x=975 x1=1179 conf=1.00 | 丰衣足食的美好寓意
y=2013 x=92 x1=627 conf=0.98 | ▲客厅挂镜适合布置在壁炉上方，通过反射沙发墙上的
y=2053 x=118 x1=346 conf=1.00 | 装饰画增加室内美观度
y=2182 x=883 x1=926 conf=1.00 | 194
