y=106 x=95 x1=488 conf=1.00 | 6.卫浴间工艺品挂件布置
y=171 x=90 x1=776 conf=1.00 | 卫浴间光线较其他地方小且光线偏暗，湿度大，装饰画
y=223 x=92 x1=772 conf=1.00 | 不利于保存，选择防水耐湿材料的立体挂件来装饰更合
y=270 x=90 x1=772 conf=1.00 | 适。为保持卫浴间整洁干净的格调，具有自然气息的挂
y=322 x=90 x1=776 conf=1.00 | 件会让空间氛围更加轻松愉悦。但注意，卫浴间的装饰
y=371 x=92 x1=774 conf=1.00 | 量不宜过多过大，颜色以低调为佳，少量的点缀即可让
y=425 x=95 x1=275 conf=1.00 | 空间不显单调。
y=1177 x=864 x1=1288 conf=0.98 | ■过道墙上的花草装饰给空间带来勃勃生机
y=1372 x=88 x1=497 conf=0.99 | ■卫浴间宜选择防水耐湿材料的立体壁饰
y=1590 x=90 x1=445 conf=1.00 | 7.过道工艺品挂件布置
y=1656 x=88 x1=767 conf=1.00 | 过道的驻足时间不长，但装饰不可忽略。过道工艺品挂
y=1708 x=88 x1=767 conf=1.00 | 件选择的原则是不仅要与室内风格相协调，而且不能影
y=1757 x=88 x1=765 conf=1.00 | 响人的正常通行。通常除了装饰画以外，在墙面上悬挂
y=1806 x=85 x1=767 conf=1.00 | 两束花草也能起到很好的装饰作用，增添自然活力的同
y=1858 x=85 x1=767 conf=1.00 | 时为过道营造一个轻松阳光的氛围。但并不是所有的花
y=1910 x=88 x1=765 conf=1.00 | 都适合挂在墙上或放在花架上，要根据花的习性跟室内
y=1961 x=90 x1=762 conf=1.00 | 的采光选择合适的植物，也可选择仿真系列的花草，以
y=2011 x=88 x1=298 conf=1.00 | 轻便易打理为佳。
y=2062 x=859 x1=1285 conf=0.97 | ■过道上的铁艺收纳架兼具实用的储物功能
y=2185 x=876 x1=923 conf=1.00 | 208
