y=80 x=95 x1=452 conf=1.00 | 2.餐厅工艺品挂件布置
y=80 x=812 x1=1167 conf=1.00 | 3.卧室工艺品挂件布置
y=150 x=97 x1=720 conf=1.00 | 餐厅如果是开放式空间，应该注意软装配饰在空间
y=150 x=812 x1=1716 conf=1.00 | 卧室作为休息的地方，色调不宜太重太多，光线亦不能太亮，以营造一个
y=200 x=97 x1=720 conf=1.00 | 上的连贯，在色彩与材质上的呼应，并协调局部空
y=197 x=812 x1=1719 conf=1.00 | 温馨轻松的居室氛围，背景墙的工艺品挂件应选择图案简单、颜色沉稳内
y=249 x=97 x1=717 conf=1.00 | 间的气氛。例如餐具的材料如果是带金色的，在工
y=247 x=812 x1=1487 conf=1.00 | 敛的类型，给人以宁静和缓的心情，利于高质量的睡眠。
y=301 x=97 x1=720 conf=1.00 | 艺品挂件中加入同样的色彩，有利于空间氛围的营
y=301 x=814 x1=1719 conf=1.00 | 扇子是古时候文人墨客的一种身份象征，有着吉祥的寓意。圆形的扇子饰
y=348 x=92 x1=656 conf=1.00 | 造与视觉感的流畅，使整个空间显得更加和谐。
y=352 x=814 x1=1719 conf=1.00 | 品配上长长的流苏和玉佩，是装饰背景墙的最佳选择，通常会用在中式风
y=402 x=95 x1=717 conf=1.00 | 虽然在整体偏冷雅的环境中加入金色能表现富贵与
y=402 x=814 x1=1719 conf=1.00 | 格和东南亚风格家居中；别致的树枝造型的挂件有多种材质，例如陶瓷加
y=451 x=95 x1=694 conf=1.00 | 温暖感，但金色不宜过多，应根据整体色调选择
y=451 x=814 x1=1714 conf=1.00 | 铁艺，还有纯铜加镜面，都是装饰背景墙的上佳选择，相对于挂画更加新颖，
y=500 x=95 x1=329 conf=1.00 | 定的比例进行点缀。
y=500 x=814 x1=1264 conf=1.00 | 富有创意，给人耳目一新的视觉体验。
y=552 x=814 x1=1719 conf=0.99 | 注意，如果用工艺品挂件装饰卧室的背景墙，墙面最好是做过硬包或者软
y=601 x=814 x1=1595 conf=1.00 | 包的，这样效果更加精致，但底色一定不能太深，也不能太花哨。
y=1151 x=95 x1=433 conf=0.95 | ■木质厨房用具造型挂件自然环保
y=1318 x=814 x1=1105 conf=0.95 | ■与地毯色彩呼应的圆形挂件
y=2069 x=95 x1=457 conf=0.94 | ■划桨造型挂件点明地中海风格主题
y=2067 x=814 x1=1127 conf=0.96 | ■扇子挂件给人宁静缓和的心情
y=2182 x=885 x1=928 conf=1.00 | 206
