y=303 x=88 x1=412 conf=1.00 | 2.新中式风格装饰画
y=373 x=90 x1=855 conf=1.00 | 新中式风格兼具中式元素与现代材质，装饰画通常采取大量的
y=423 x=90 x1=855 conf=0.99 | 留白，渲染唯美诗意的意境。画作的选择以及与周围软装配饰
y=474 x=88 x1=855 conf=1.00 | 的层次构造非常关键，选择色彩淡雅、题材简约的装饰画，无
y=524 x=90 x1=855 conf=1.00 | 论是单个欣赏还是搭配花艺等陈设，都能美成清雅含蓄的散
y=573 x=88 x1=159 conf=1.00 | 文诗。
y=625 x=88 x1=855 conf=1.00 | 新中式装饰画的选择应同现场的陈设以及空间形状相呼应，根
y=674 x=90 x1=855 conf=1.00 | 据挂画区域大小选择画框的形状跟数量，通常用长条形的组合
y=707 x=947 x1=1198 conf=0.96 | ■长条形新中式挂画组合
y=721 x=88 x1=833 conf=1.00 | 画能很好地点化空间，内容为水墨画或带有中式元素的写意画，
y=775 x=90 x1=817 conf=1.00 | 例如完全相同的或主题成系列的山水、花鸟、风景等装饰画。
y=820 x=945 x1=1233 conf=1.00 | 3.法式风格装饰画
y=890 x=947 x1=1709 conf=1.00 | 法式风格装饰画擅于采用油画的材质，以著名的历史人物为设
y=940 x=947 x1=1709 conf=1.00 | 计灵感，再加上精雕的金属外框，使得整幅装饰画兼具古典美
y=989 x=947 x1=1707 conf=1.00 | 与高贵感。当然，金属质地的油画应选择挂在色彩简单的背景
y=1036 x=942 x1=1714 conf=1.00 | 墙上，才能够形成视觉焦点。除了经典人物画像的装饰画，法
y=1090 x=947 x1=1709 conf=1.00 | 式风格空间装饰画也可以采用花卉的形式，表现出极为灵动的
y=1139 x=947 x1=1072 conf=1.00 | 生命气息。
y=1191 x=947 x1=1709 conf=1.00 | 法式风格装饰画从款式上可以分为油画彩绘或是素描，两者都
y=1240 x=947 x1=1688 conf=1.00 | 能展现出法式情调，素描的装饰画一般以单纯的白色为底色，
y=1292 x=947 x1=1316 conf=1.00 | 而油画的色彩则需要浓郁一些。
y=2069 x=88 x1=599 conf=0.98 | ■大量留白的装饰画隐含中国传统文化中的方圆之道
y=2069 x=947 x1=1307 conf=0.97 | ■法式乡村风格挂画表现出复古格调
y=2175 x=876 x1=921 conf=1.00 | 164
