y=308 x=102 x1=462 conf=1.00 | 2.餐厨合一的空间照明
y=376 x=102 x1=751 conf=1.00 | 小户型中，餐厨合一的格局越来越多见，选用的灯饰
y=430 x=102 x1=732 conf=1.00 | 要注意以功能性为主，外形以现代简约的线条为宜。
y=477 x=99 x1=748 conf=1.00 | 灯光照明则应按区域功能进行规划，就餐处与厨房可
y=526 x=99 x1=746 conf=1.00 | 以分开关控制，烹饪时开启厨房区灯具，用餐时则开
y=580 x=102 x1=739 conf=1.00 | 启就餐区灯具。用可调光控制厨房灯具，工作时明亮，
y=627 x=102 x1=530 conf=1.00 | 就餐时调成暗淡，作为背景光处理。
y=695 x=835 x1=1219 conf=0.96 | ■餐厨合一的空间照明宜以功能性为主
y=827 x=99 x1=322 conf=1.00 | 3.操作区照明
y=834 x=956 x1=1182 conf=1.00 | 4.水槽区照明
y=900 x=102 x1=864 conf=0.99 | 厨房的油烟机上面一般都带有25~40W的照明灯，它使得灶台
y=907 x=959 x1=1719 conf=1.00 | 厨房间的水槽多数都是临窗的，在白天采光会很好，但是到了
y=949 x=102 x1=866 conf=1.00 | 上方的照度得到了很大的提高。有的厨房在切菜、备餐等操作
y=958 x=959 x1=1721 conf=1.00 | 晚上做清洗工作就只能依靠厨房的主灯。但主灯一般都安装在
y=996 x=97 x1=848 conf=0.99 | 台上方设有很多柜子，也可以在这些柜子下面安装局部照明灯，
y=1005 x=956 x1=1726 conf=1.00 | 厨房的正中间，这样当人站着水槽前正好会挡住光源，所以需
y=1052 x=99 x1=365 conf=1.00 | 以增加操作台的亮度。
y=1057 x=956 x1=1723 conf=0.99 | 要在水槽的顶部预留光源。希望效果简洁点，可以选择防雾射灯；
y=1106 x=956 x1=1522 conf=1.00 | 想要增加点小情趣的话，可以考虑造型小吊灯。
y=2074 x=92 x1=561 conf=0.99 | ▲厨房的吊柜下方安装灯带，增加操作台的亮度
y=2081 x=949 x1=1442 conf=0.98 | ▲厨房临窗的水槽上方宜安装小吊灯作为辅助照明
y=2194 x=878 x1=928 conf=1.00 | 152
