y=573 x=223 x1=528 conf=0.95 | 二、挂钟尺寸选择
y=676 x=102 x1=1169 conf=1.00 | 挂钟的尺寸一般有直径25cm、30cm、38cm、40cm、46cm、50cm、68cm等，很
y=726 x=104 x1=1162 conf=1.00 | 多人习惯用英寸来选择，如10英寸、12英寸、14英寸、16英寸、18英寸、20英寸等，
y=778 x=104 x1=1169 conf=0.99 | 一般挂在餐厅中的尺寸直径30~40cm左右，挂在客厅中的尺寸一般选择35~50cm左
y=827 x=104 x1=1167 conf=0.99 | 右，挂在卧室中的尺寸一般选择30~40cm左右，书房、过道、玄关等其他墙面的尺寸
y=879 x=109 x1=395 conf=0.98 | 一般是25~38cm左右。
y=928 x=104 x1=1143 conf=1.00 | 在购买挂钟时，不要把挂钟拿在手上来感觉挂钟的大小，因为挂钟是挂在墙上远观的
y=977 x=104 x1=1136 conf=1.00 | 视觉差会导致看起来很大的挂钟挂在墙上刚好，看起来刚刚好的挂钟挂在墙上显得小。
y=1924 x=107 x1=705 conf=0.98 | ▲卧室中的挂钟不仅要考虑到尺寸大小和外观造型符合整体风
y=1919 x=821 x1=1335 conf=0.97 | ▲过道上的挂钟尺寸不宜太大，避免给人带来压迫感
y=1959 x=128 x1=533 conf=1.00 | 格，而且一定要考虑选择静音机芯的挂钟
y=2185 x=897 x1=942 conf=1.00 | 198
