y=940 x=1068 x1=1399 conf=0.94 | ◎吊灯与壁灯结合的楼梯照明
y=987 x=1068 x1=1733 conf=1.00 | 卫星状的主吊灯的曲线与楼梯的弧度形成了很好的形态上的
y=1024 x=1063 x1=1733 conf=1.00 | 呼应，同时白色的材质与墙面上的木作类的颜色相近，达到
y=1069 x=1070 x1=1733 conf=1.00 | 了很好的统一。在人工的照明处理上，主吊灯起到了主照明
y=1109 x=1065 x1=1730 conf=1.00 | 的作用，同时辅以楼梯间的几组壁灯，围绕着楼梯的垂直维
y=1151 x=1068 x1=1733 conf=1.00 | 度依次上升安装，增加了灯光的层次，同时又兼顾到楼梯间
y=1191 x=1065 x1=1205 conf=1.00 | 的辅助照明。
y=1454 x=114 x1=471 conf=0.95 | ?带来视觉震撼的倒挂型大吊灯
y=1501 x=109 x1=973 conf=1.00 | 客厅中采用体型非常巨大的倒挂形吊灯，这是异于常规的布灯方式，形成了夸
y=1543 x=111 x1=975 conf=1.00 | 张新颖的视觉效果。材质上采用了环形编织的木皮作为表面，使内部灯光发散
y=1586 x=111 x1=975 conf=1.00 | 出多层次的效果，同时与这个空间中休闲的感觉也相得益彰。在空间的其他区
y=1623 x=109 x1=923 conf=1.00 | 域采用了明装的射灯，作为墙面或地面等需要照射的艺术品的点光源照明。
y=1943 x=1070 x1=1401 conf=0.97 | 金色壁灯作为空间点睛之笔
y=1987 x=1068 x1=1733 conf=0.98 | 一对水滴状的金色壁灯，在这个空间的小景中，绝对是点睛
y=2032 x=1070 x1=1733 conf=1.00 | 之笔。与其他软装饰品同类化的材质处理，不但使这对吊灯
y=2072 x=1068 x1=1735 conf=1.00 | 很好地融合进了空间氛围，同时打开的灯光与台面上装饰品
y=2112 x=1068 x1=1532 conf=1.00 | 的三角形构图形成了很好的画面互补关系。
y=2187 x=907 x1=949 conf=1.00 | 156
