y=909 x=99 x1=457 conf=1.00 | 灯饰与家具在材质上形成呼应
y=907 x=904 x1=1238 conf=0.95 | ?宫灯造型的吊灯表现华贵感
y=954 x=97 x1=810 conf=1.00 | 空间中的布光方式，采用了中央型配合多点散光的方式，能够创
y=954 x=902 x1=1569 conf=1.00 | 改良的宫灯款装饰吊灯，极富符号特征。整体材质上采用大
y=996 x=97 x1=812 conf=1.00 | 造出比较好的空间灯光氛围。每个区域的主灯都是与该独立功能
y=991 x=904 x1=1569 conf=1.00 | 量的金属配上玻璃的感觉，显得通透又华贵。同时，色彩上
y=1036 x=97 x1=812 conf=1.00 | 区的氛围、颜色相互融合呼应，并不显得喧宾夺主。同时，灯饰
y=1031 x=902 x1=1572 conf=1.00 | 非常讲究整体搭配。暗红色、金色呼应了整个空间的其他不
y=1073 x=95 x1=812 conf=1.00 | 多采用布艺类的柔软材质，与空间中的主体家具相互配合，达到
y=1071 x=902 x1=1572 conf=1.00 | 同的家具和装饰品，使得整个空间的感觉非常统一，是一个
y=1120 x=99 x1=312 conf=1.00 | 了比较好的统一性。
y=1116 x=907 x1=1044 conf=1.00 | 上乘的佳作。
y=1858 x=104 x1=365 conf=1.00 | 主次分明的灯光照明
y=1856 x=670 x1=930 conf=0.93 | ◎高低错落的水晶吊灯
y=1853 x=1236 x1=1520 conf=0.94 | ◎红色吊灯营造柔美氛围
y=1907 x=102 x1=597 conf=1.00 | 空间主光源的选择上采用了带有夸张、玩味
y=1905 x=670 x1=1162 conf=1.00 | 长方形的餐桌上面安装了一盏长轴椭圆形的
y=1898 x=1231 x1=1726 conf=1.00 | 在空间的休闲一角处，采用了一个红色的编
y=1947 x=102 x1=594 conf=1.00 | 造型的组合型吊灯，与整体空间比较精致的
y=1942 x=665 x1=1162 conf=1.00 | 水晶吊灯，在空间的水平维度上形成了统一
y=1943 x=1233 x1=1726 conf=1.00 | 织类的吊灯，不但在颜色的处理上与整个空
y=1987 x=102 x1=597 conf=1.00 | 效果产生反差。同时，在远端采用了一对金
y=1985 x=668 x1=1162 conf=1.00 | 轴线，增加了视觉的指向性。同时，灯具采
y=1980 x=1233 x1=1709 conf=1.00 | 间的墙顶面的粉红色进行了同类色的处理，
y=2025 x=102 x1=597 conf=1.00 | 色的台灯，融合在整个空间的氛围中。这样
y=2020 x=667 x1=1162 conf=1.00 | 用高低错落的水晶头，既能让灯光产生斑驳
y=2022 x=1236 x1=1728 conf=1.00 | 同时整个纺线编织的感觉与空间当中很多布
y=2069 x=104 x1=597 conf=0.99 | 一主一次、不同感觉的灯具进行混搭，使得
y=2062 x=667 x1=1162 conf=1.00 | 缤纷的效果，同时材质上也更靠近于华贵的
y=2065 x=1236 x1=1501 conf=1.00 | 艺类的材质进行了呼应。
y=2109 x=104 x1=445 conf=1.00 | 空间达到俏皮、戏剧化的效果。
y=2105 x=667 x1=1139 conf=1.00 | 感觉，与空间的整体豪华氛围也相得益彰。
y=2182 x=895 x1=942 conf=1.00 | 160
