y=99 x=234 x1=644 conf=0.99 | 、工艺品挂件风格选择
y=197 x=102 x1=1165 conf=1.00 | 工艺品挂件的种类很多，形式也非常丰富，应与被装饰的室内空间氛围相谐调。但这种
y=247 x=99 x1=1165 conf=1.00 | 谐调并不是将工艺品挂件的材料、色彩、样式简单地融合于空间之中，而是要求工艺品
y=296 x=99 x1=1165 conf=1.00 | 挂件在特定的室内环境中，既能与室内的整体装饰风格、文化氛围协调统一，又能与室
y=348 x=102 x1=1075 conf=1.00 | 内已有的其他物品在材质、肌理、色彩、形态的某些方面显现适度对比的距离感。
y=465 x=95 x1=521 conf=1.00 | 1.美式乡村风格工艺品挂件
y=536 x=97 x1=1162 conf=1.00 | 美式乡村风格悠闲而自由，墙面色彩通常自然、质朴，散发着浓浓的泥土的芬芳，软装
y=587 x=97 x1=1141 conf=1.00 | 配饰的选择倾向于自由、乡村而怀旧的格调。美式风格的挂件可以天马行空地自由搭配
y=637 x=97 x1=1162 conf=1.00 | 不用整齐有规律。铁艺材质的墙面装饰和挂画、镜子、老照片、手工艺品等都可以挂在
y=686 x=95 x1=608 conf=1.00 | 一面墙上，自由随意就是美式的灵魂所在。
y=813 x=92 x1=488 conf=1.00 | 2.东南亚风格工艺品挂件
y=883 x=97 x1=1162 conf=1.00 | 东南亚风格中的软装元素在精不在多，选择墙面工艺品挂件时注意留白跟意境，营造沉
y=933 x=97 x1=1143 conf=0.99 | 稳大方的空间格调。选用少量的木雕工艺饰品和铜制品点缀便可以起到画龙点睛的作用。
y=982 x=97 x1=881 conf=1.00 | 但是，铜容易生锈，在选用铜质挂件时要注意作好护理，防生锈。
y=1128 x=97 x1=452 conf=1.00 | 3.简约风格工艺品挂件
y=1193 x=95 x1=1162 conf=1.00 | 简约风格以简约宁静为美，饰品相对比较少，选择少量的工艺品挂件分布整面墙壁，能
y=1240 x=92 x1=1162 conf=1.00 | 点亮整个空间。在软装配饰比较少的空间里，注重元素之间的协调对话，选择工艺品挂
y=1297 x=97 x1=443 conf=1.00 | 件的时候更注重意境的刻画。
y=1299 x=1266 x1=1283 conf=0.59 | 3
y=1421 x=97 x1=485 conf=1.00 | 4.新中式风格工艺品挂件
y=1487 x=95 x1=1155 conf=1.00 | 新中式风格雅致而沉稳，常用字画、折扇、瓷器等来作为饰品装饰，注重整体色调的呼应、
y=1539 x=97 x1=1160 conf=1.00 | 协调。沉稳素雅的色彩符合中式风格内敛、质朴的气质，荷叶、金鱼、牡丹等具有吉祥
y=1588 x=97 x1=658 conf=1.00 | 寓意的饰品会经常作为挂件用于背景墙面装饰。
y=1637 x=97 x1=1160 conf=1.00 | 中式家居讲究层次感，选择组合型工艺品挂件的时候注意各个单品的大小选择与间隔比
y=1689 x=97 x1=824 conf=1.00 | 例，并注意平面的留白，大而不空，这样装饰起来才有意境。
y=1813 x=97 x1=483 conf=1.00 | 5.后现代风格工艺品挂件
y=1874 x=92 x1=1162 conf=1.00 | 后现代风格里常用黑色搭配金色来打造酷雅、奢华的空间格调，所以金色的金属饰品占
y=1928 x=92 x1=1158 conf=1.00 | 据相对大的比例。金色工艺品挂件搭配同色调的烛台或桌饰，可以协调出典雅尊贵的空
y=1978 x=95 x1=1158 conf=1.00 | 间氛围。在使用的金属挂件来作为墙面装饰的时候，注意添加适量布艺、丝绒、皮草等
y=2027 x=92 x1=1016 conf=1.00 | 软性饰品来调和金属的冷与硬，烘托华丽精致感，平衡整个家居环境的氛围。
y=2182 x=883 x1=928 conf=1.00 | 204
