y=1170 x=123 x1=457 conf=1.00 | 黑色吊灯成为空间视觉中心
y=1167 x=980 x1=1364 conf=0.95 | ◎金色灯具与绿色墙面的经典搭配
y=1217 x=121 x1=888 conf=1.00 | 空间中主灯的黑色材质与单人沙发的黑色条纹相互呼应，是这个空间
y=1217 x=980 x1=1742 conf=1.00 | 金色的圆盘状瀑布形管状吊灯，与空间中墨绿色的背景形成了绿色加
y=1259 x=123 x1=885 conf=1.00 | 中比较重的颜色，起到了视觉中心的作用。八个锥形灯泡采用磨砂的
y=1259 x=980 x1=1742 conf=1.00 | 金色的经典奢华搭配。同时在灯具的造型上，也形成了一个倒锥形的
y=1299 x=121 x1=885 conf=1.00 | 材质，不会让灯光刺眼。同时，在远端采用了银白色金属灯罩的台灯，
y=1299 x=980 x1=1742 conf=1.00 | 视觉焦点，所有光源的指向性更接近于台面，能够给餐厅这个小区域
y=1341 x=121 x1=888 conf=1.00 | 弱化了存在感，不会去抢夺视觉焦点，但又能满足写字台上的基础照
y=1337 x=978 x1=1742 conf=0.99 | 提供非常好的桌面照明功能。另外，灯具金属的材质与餐桌椅的软性
y=1381 x=121 x1=213 conf=1.00 | 明作用。
y=1381 x=980 x1=1614 conf=1.00 | 材质形成了软硬度的对比，增加了空间当中质感的丰富度。
y=1863 x=125 x1=379 conf=0.93 | ?床头区域的艺术光影
y=1912 x=123 x1=720 conf=1.00 | 卧室中床头背景区域的布光方式多采用顶部中央点光
y=1952 x=123 x1=717 conf=1.00 | 源配以台面台灯的形式。靠墙顶部中央的主光源打亮
y=1992 x=125 x1=717 conf=1.00 | 了床头区域，形成的光影比较有艺术感。同时，台灯
y=2034 x=123 x1=720 conf=1.00 | 的光源也起到了间接照明的作用。台灯本身的造型和
y=2074 x=123 x1=717 conf=1.00 | 质感也与空间中的家具风格相互协调，达到了比较好
y=2114 x=121 x1=241 conf=1.00 | 的统一性。
y=2192 x=918 x1=952 conf=1.00 | 157
