y=78 x=97 x1=388 conf=1.00 | 4.书房装饰画布置
y=75 x=956 x1=1245 conf=1.00 | 5.卧室装饰画布置
y=148 x=102 x1=862 conf=1.00 | 书房是个安静而富有文化气息的功能区，装饰画在题材与色彩
y=148 x=959 x1=1721 conf=1.00 | 卧室是一个让人放松的私密区域，简约平和的低亮度色彩可以
y=197 x=104 x1=862 conf=1.00 | 上都宜轻松而低调，色彩不要太过鲜艳跳跃，让进入书房的人
y=200 x=959 x1=1721 conf=1.00 | 保持空间的平和安静，装饰画的选择应以让人心情缓和宁静为
y=249 x=99 x1=864 conf=1.00 | 能够安静而专注地阅读和思考。书房里的装饰画数量一般在
y=249 x=959 x1=1681 conf=1.00 | 佳，避免能引发思考或浮想联翩的题材以及让人兴奋的亮色。
y=298 x=99 x1=864 conf=0.99 | 2~3幅左右，尺寸不要太大，悬挂的位置在书桌上方和书柜旁
y=296 x=956 x1=1702 conf=1.00 | 卧室装饰画数量不在多，过多的卧室挂画反而会让人眼花缭乱，
y=348 x=99 x1=253 conf=1.00 | 边的墙面上。
y=348 x=956 x1=1721 conf=1.00 | 一两幅精心挑选的卧室画就已经足够了。除了婚纱照或艺术照
y=399 x=99 x1=864 conf=0.99 | 中式书房内的装饰画宜静而雅，以营造轻松的阅读氛围，渲染“宁
y=399 x=959 x1=1719 conf=1.00 | 以外，人体油画、花卉画和抽象画也是不错的选择。此外，卧
y=449 x=99 x1=862 conf=1.00 | 静致远”的意境。书法、山水、风景内容的画作来装饰书房通
y=451 x=959 x1=1702 conf=1.00 | 室装饰画应根据主人不同年龄段选择不同风格题材的装饰画，
y=500 x=99 x1=864 conf=1.00 | 常是最佳选择，当然也可以选择居住者喜欢的题材或抽象题材
y=500 x=959 x1=1721 conf=1.00 | 老人房尽量选择舒缓自然颜色淡雅的挂画。在悬挂时，装饰
y=550 x=99 x1=864 conf=1.00 | 的装饰画。欧式、地中海、现代简约等装修风格的书房则可以
y=550 x=959 x1=1721 conf=0.99 | 画底边离床头靠背上方15~30cm处或顶边离顶部30~40cm
y=597 x=97 x1=580 conf=1.00 | 选择一些风景或几何图形内容的装饰画。
y=597 x=956 x1=1030 conf=1.00 | 最佳。
y=1318 x=99 x1=611 conf=1.00 | 画面雅致的装饰画可创造令人身心愉悦的阅读氛围
y=1320 x=959 x1=1446 conf=0.98 | ■卧室床侧边墙上挂画，打破常规的设计富有新意
y=2069 x=99 x1=502 conf=0.97 | ■书房装饰画的题材和色彩宜轻松而低调
y=2072 x=956 x1=1468 conf=0.98 | ■卧室床头墙上适合悬挂让人心情缓和宁静的装饰画
y=2180 x=890 x1=933 conf=1.00 | 172
